Takeoff Coach 5.2 cvar audit
REGISTERED | READ BY RUNTIME | EDITED BY UI | SAVED BY PRESET | USED | OCCURRENCES
tc_max_profile_simulations | YES | NO | NO | YES | 3
tc_max_initial_solve_ms | YES | NO | NO | YES | 2
tc_takeoff_confidence_min | YES | NO | NO | YES | 2
tc_unreachable_setup_chance | YES | NO | NO | YES | 2
tc_setup_validation_delay | YES | YES | YES | YES | 5
tc_validation_stable_time | YES | YES | YES | YES | 5
tc_max_setup_rejections | YES | NO | NO | YES | 2
tc_min_initial_jump_delay_ms | YES | NO | NO | YES | 3
tc_target_height_min | YES | YES | YES | YES | 6
tc_target_height_max | YES | YES | YES | YES | 6
tc_height_yellow_margin | YES | YES | NO | YES | 5
tc_height_display_margin | YES | YES | NO | YES | 5
tc_show_hud | YES | YES | NO | YES | 4
tc_show_numbers | YES | YES | NO | YES | 5
tc_show_timing | YES | YES | NO | YES | 4
tc_show_alignment | YES | YES | NO | YES | 4
tc_show_height | YES | YES | NO | YES | 4
tc_hud_position | YES | YES | NO | YES | 4
tc_hud_opacity | YES | YES | NO | YES | 4
tc_indicator_text_scale | YES | YES | NO | YES | 4
tc_timing_green_early_ms | YES | YES | NO | YES | 6
tc_timing_green_late_ms | YES | YES | NO | YES | 6
tc_timing_yellow_early_ms | YES | YES | NO | YES | 4
tc_timing_yellow_late_ms | YES | YES | NO | YES | 4
tc_timing_display_early_ms | YES | YES | NO | YES | 4
tc_timing_display_late_ms | YES | YES | NO | YES | 5
tc_green_alignment | YES | YES | NO | YES | 6
tc_yellow_alignment | YES | YES | NO | YES | 5
tc_alignment_display | YES | YES | NO | YES | 6
tc_color_red_r | YES | YES | NO | YES | 5
tc_color_red_g | YES | YES | NO | YES | 5
tc_color_red_b | YES | YES | NO | YES | 5
tc_color_yellow_r | YES | YES | NO | YES | 5
tc_color_yellow_g | YES | YES | NO | YES | 5
tc_color_yellow_b | YES | YES | NO | YES | 5
tc_color_green_r | YES | YES | NO | YES | 5
tc_color_green_g | YES | YES | NO | YES | 5
tc_color_green_b | YES | YES | NO | YES | 5
tc_show_contact_marker | YES | YES | NO | YES | 4
tc_marker_color_r | YES | YES | NO | YES | 4
tc_marker_color_g | YES | YES | NO | YES | 4
tc_marker_color_b | YES | YES | NO | YES | 4
tc_marker_candidate_r | YES | NO | NO | YES | 2
tc_marker_candidate_g | YES | NO | NO | YES | 2
tc_marker_candidate_b | YES | NO | NO | YES | 2
tc_marker_shape | YES | NO | NO | YES | 2
tc_marker_size | YES | NO | NO | YES | 2
tc_marker_opacity | YES | NO | NO | YES | 2
tc_marker_pulse | YES | NO | NO | YES | 2
tc_marker_show_time | YES | NO | NO | YES | 2
tc_marker_show_bounces | YES | NO | NO | YES | 2
tc_marker_ground_projection | YES | NO | NO | YES | 2
tc_show_takeoff_marker | YES | NO | NO | YES | 2
tc_show_takeoff_arrow | YES | NO | NO | YES | 2
tc_takeoff_marker_r | YES | NO | NO | YES | 2
tc_takeoff_marker_g | YES | NO | NO | YES | 2
tc_takeoff_marker_b | YES | NO | NO | YES | 2
tc_takeoff_marker_size | YES | NO | NO | YES | 2
tc_show_takeoff_line | YES | NO | NO | YES | 2
tc_takeoff_arrow_length | YES | NO | NO | YES | 2
tc_takeoff_line_thickness | YES | NO | NO | YES | 3
tc_takeoff_candidate_r | YES | NO | NO | YES | 2
tc_takeoff_candidate_g | YES | NO | NO | YES | 2
tc_takeoff_candidate_b | YES | NO | NO | YES | 2
tc_shoot_aim_mode | YES | YES | YES | YES | 3
tc_shoot_custom_aim_x | YES | YES | YES | YES | 3
tc_shoot_goal_height | YES | GENERIC PRESET UI | YES | YES | 4
tc_shoot_max_aim_error | YES | YES | YES | YES | 3
tc_shoot_score_speed | YES | GENERIC PRESET UI | YES | YES | 2
tc_shoot_score_aim | YES | GENERIC PRESET UI | YES | YES | 2
tc_shoot_distance_min | YES | YES | YES | YES | 2
tc_shoot_distance_max | YES | YES | YES | YES | 2
tc_shoot_lateral_min | YES | YES | YES | YES | 2
tc_shoot_lateral_max | YES | YES | YES | YES | 2
tc_shoot_ball_height_min | YES | YES | YES | YES | 2
tc_shoot_ball_height_max | YES | YES | YES | YES | 2
tc_shoot_target_height_min | YES | YES | YES | YES | 2
tc_shoot_target_height_max | YES | YES | YES | YES | 2
tc_shoot_setup_rotation_min | YES | YES | YES | YES | 2
tc_shoot_setup_rotation_max | YES | YES | YES | YES | 2
tc_shoot_car_facing_min | YES | YES | YES | YES | 2
tc_shoot_car_facing_max | YES | YES | YES | YES | 2
tc_shoot_car_speed_min | YES | YES | YES | YES | 2
tc_shoot_car_speed_max | YES | YES | YES | YES | 2
tc_shoot_car_velocity_angle_min | YES | YES | YES | YES | 2
tc_shoot_car_velocity_angle_max | YES | YES | YES | YES | 2
tc_shoot_ball_speed_min | YES | YES | YES | YES | 2
tc_shoot_ball_speed_max | YES | YES | YES | YES | 2
tc_shoot_ball_vertical_min | YES | YES | YES | YES | 2
tc_shoot_ball_vertical_max | YES | YES | YES | YES | 2
tc_shoot_ball_direction_min | YES | YES | YES | YES | 2
tc_shoot_ball_direction_max | YES | YES | YES | YES | 2
tc_fast_distance_min | YES | YES | YES | YES | 2
tc_fast_distance_max | YES | YES | YES | YES | 2
tc_fast_lateral_min | YES | YES | YES | YES | 2
tc_fast_lateral_max | YES | YES | YES | YES | 2
tc_fast_ball_height_min | YES | YES | YES | YES | 2
tc_fast_ball_height_max | YES | YES | YES | YES | 2
tc_fast_target_height_min | YES | YES | YES | YES | 2
tc_fast_target_height_max | YES | YES | YES | YES | 2
tc_fast_setup_rotation_min | YES | YES | YES | YES | 2
tc_fast_setup_rotation_max | YES | YES | YES | YES | 2
tc_fast_car_facing_min | YES | YES | YES | YES | 2
tc_fast_car_facing_max | YES | YES | YES | YES | 2
tc_fast_car_speed_min | YES | YES | YES | YES | 2
tc_fast_car_speed_max | YES | YES | YES | YES | 2
tc_fast_car_velocity_angle_min | YES | YES | YES | YES | 2
tc_fast_car_velocity_angle_max | YES | YES | YES | YES | 2
tc_fast_ball_speed_min | YES | YES | YES | YES | 2
tc_fast_ball_speed_max | YES | YES | YES | YES | 2
tc_fast_ball_vertical_min | YES | YES | YES | YES | 2
tc_fast_ball_vertical_max | YES | YES | YES | YES | 2
tc_fast_ball_direction_min | YES | YES | YES | YES | 2
tc_fast_ball_direction_max | YES | YES | YES | YES | 2
tc_custom_distance_min | YES | GENERIC PRESET UI | YES | YES | 1
tc_custom_distance_max | YES | GENERIC PRESET UI | YES | YES | 1
tc_custom_lateral_min | YES | GENERIC PRESET UI | YES | YES | 1
tc_custom_lateral_max | YES | GENERIC PRESET UI | YES | YES | 1
tc_custom_ball_height_min | YES | GENERIC PRESET UI | YES | YES | 1
tc_custom_ball_height_max | YES | GENERIC PRESET UI | YES | YES | 1
tc_custom_target_height_min | YES | GENERIC PRESET UI | YES | YES | 1
tc_custom_target_height_max | YES | GENERIC PRESET UI | YES | YES | 1
tc_custom_setup_rotation_min | YES | GENERIC PRESET UI | YES | YES | 1
tc_custom_setup_rotation_max | YES | GENERIC PRESET UI | YES | YES | 1
tc_custom_car_facing_min | YES | GENERIC PRESET UI | YES | YES | 1
tc_custom_car_facing_max | YES | GENERIC PRESET UI | YES | YES | 1
tc_custom_car_speed_min | YES | GENERIC PRESET UI | YES | YES | 1
tc_custom_car_speed_max | YES | GENERIC PRESET UI | YES | YES | 1
tc_custom_car_velocity_angle_min | YES | GENERIC PRESET UI | YES | YES | 1
tc_custom_car_velocity_angle_max | YES | GENERIC PRESET UI | YES | YES | 1
tc_custom_ball_speed_min | YES | GENERIC PRESET UI | YES | YES | 1
tc_custom_ball_speed_max | YES | GENERIC PRESET UI | YES | YES | 1
tc_custom_ball_vertical_min | YES | GENERIC PRESET UI | YES | YES | 1
tc_custom_ball_vertical_max | YES | GENERIC PRESET UI | YES | YES | 1
tc_custom_ball_direction_min | YES | GENERIC PRESET UI | YES | YES | 1
tc_custom_ball_direction_max | YES | GENERIC PRESET UI | YES | YES | 1

UNINTENTIONAL REGISTERED-ONLY COUNT: 0
